RWZI_NUMBER,RWZI_NAME,bouwjaar,type,biocap,hydrcap,ontvwater,laatste_aanpassing,biocapgr136
14,RWZI - Oud-Beijerland,1996,Ultralaagbelaste actief-slibinstallatie,66.176 i.e. &agrave; 136 gr. TZV / dag,,Het Spui,,66176
156,RWZI - Oude Pekela,,,,,Pekelder Hoofddiep,,
15,RWZI - Oude-Tonge,1981,Ultralaagbelaste actief-slibinstallatie,17.206 i.e. &agrave; 136 gr. TZV / dag,,Krammer,,17206
34,RWZI - Oudeschild,,,,,,,
106,RWZI - Oudewater,1979,"LBAS, biologische fosfaatverwijdering, UCT ",26.900 i.e. &agrave; 136 gr. TZV / dag,,"Hollandse IJssel ",2005,26900
264,RWZI - Overasselt,1976,Concent,13.000 i.e. &agrave; 136 gr. TZV / dag,,Maas,,13000
181,RWZI - Panheel,1984,Actiefslib,33.300 i.e. &agrave; 136 gr. TZV / dag,,,,33300
265,RWZI - Papendrecht,1996,Carrousel,53.000 i.e. &agrave; 136 gr. TZV / dag,,Beneden Merwede,,53000
16,RWZI - Piershil,1989,Ultralaagbelaste actief-slibinstallatie,7.279 i.e. &agrave; 136 gr. TZV / dag,,Het Spui,,7279
348,RWZI - Putte,,Oxidatietanks,8.210 i.e. &agrave; 136 gr. TZV / dag,,Leuvensebeek,,8210
149,RWZI - Raalte,1977,Actiefslib met BCFS-proces,81.270 i.e. &agrave; 136 gr. TZV / dag,,Hondemotswetering,2002,81270
278,RWZI - Renkum,1977,Actiefslib,160.000 i.e. &agrave; 136 gr. TZV / dag,,Neder-Rijn,,160000
312,RWZI - Retranchement,1974,Actiefslib,59.600 i.e. &agrave; 136 gr. TZV / dag,,,,59600
107,RWZI - Rhenen,1980,"UCT, carrousel ",46.000 i.e. &agrave; 136 gr. TZV / dag,,Nederrijn,2004,46000
17,RWZI - Ridderkerk,1975,Ultralaagbelaste actief-slibinstallatie,96.250 i.e. &agrave; 136 gr. TZV / dag,,De Noord,,96250
129,RWZI - Riel,,Oxidatiesloot,15.500 i.e. &agrave; 136 gr. TZV / dag,,Oude Leij,,15500
130,RWZI - Rijen,,Carrousel,82.000 i.e. &agrave; 136 gr. TZV / dag,,Schorsleij,,82000
79,RWZI - Rijnsaterwoude,1973,Ultra laagbelaste actief-slibinstallatie (Oxidatiesloot),2.500 i.e. &agrave; 136 gr. TZV / dag,,,1998,2500
80,RWZI - Rijsenhout,1998,Ultra laagbelaste actief-slibinstallatie,35.000 i.e. &agrave; 136 gr. TZV / dag,,,,35000
216,RWZI - Rijssen,2005,Actiefslib,,,,,
191,RWZI - Rimburg,1973,Carrousel zonder voorbezinking,99.700 i.e. &agrave; 136 gr. TZV / dag,,,,99700
192,RWZI - Roermond,1985,Ultra laag belaste actief-slibinstallatie,228.100 i.e. &agrave; 136 gr. TZV / dag,,,2003,228100
18,RWZI - Rozenburg,1982,Ultralaagbelaste actief-slibinstallatie,23.824 i.e. &agrave; 136 gr. TZV / dag,,Het Scheur,,23824
230,RWZI - Ruurlo,1998,Oxidatiesloot continu,14.200 i.e. &agrave; 136 gr. TZV / dag,,Baakse Beek,,14200
157,RWZI - Scheemda,,,,,Winschoterdiep,,
266,RWZI - Schelluinen,2007,Carrousel,108.500 i.e. &agrave; 136 gr. TZV / dag,,Boven Merwede,,108500
158,RWZI - Scheve Klap,,,,,Termunterzijldiep,,
337,RWZI - Schiermonnikoog,1994,"Carrousel, alternerende beluchting ",10.000 i.e. &agrave; 136 gr. TZV / dag,,,,10000
287,RWZI - Schoonoord,1974,Oxidatiesloot,,,Oranjekanaal,,
193,RWZI - Simpelveld,1966,Oxidatiebed met actiefslibsysteem,22.600 i.e. &agrave; 136 gr. TZV / dag,,,1981,22600
338,RWZI - Sint Annaparochie,1974,Pasveersloot,18.000 i.e. &agrave; 136 gr. TZV / dag,,,,18000
300,RWZI - Sint Maartensdijk,1999,Actiefslib,41.000 i.e. &agrave; 136 gr. TZV / dag,,,,41000
301,RWZI - Sint Philipsland,1988,Actiefslib (Schreiber),3.500 i.e. &agrave; 136 gr. TZV / dag,,,,3500
139,RWZI - Sint-Oedenrode,,Oxidatiesloot,99.000 i.e. &agrave; 136 gr. TZV / dag,,Dommel,,99000
288,RWZI - Sleen,1973,Phoredox,31.793 i.e. &agrave; 136 gr. TZV / dag,,"Verlengde Hoogeveensche Vaart ",1998,31793
267,RWZI - Sleeuwijk,1992,Rotoflow,71.000 i.e. &agrave; 136 gr. TZV / dag,,Robijnswiel,,71000
268,RWZI - Sliedrecht,1981,Schreiber,53.000 i.e. &agrave; 136 gr. TZV / dag,,Beneden Merwede,,53000
339,RWZI - Sloten,1977,Carrousel,22.000 i.e. &agrave; 136 gr. TZV / dag,,,,22000
